327 max = 710.1000000000126, mean = 181.44666666666697
328 max = 460.6000000000049, mean = 161.7033333333331
329 max = 614.1000000000097, mean = 195.53166666666695
330 max = 364.10000000000275, mean = 90.87333333333316
331 max = 488.0000000000043, mean = 144.16166666666678
332 max = 722.4000000000116, mean = 177.5350000000005
333 max = 522.0000000000072, mean = 137.39166666666696
334 max = 493.50000000000716, mean = 112.05333333333323
335 max = 388.10000000000355, mean = 116.50666666666653
336 max = 442.60000000000406, mean = 129.5716666666666
337 max = 492.5000000000066, mean = 146.90333333333353
338 max = 420.9000000000029, mean = 124.09166666666643
339 max = 374.30000000000234, mean = 107.71833333333312
340 max = 559.9000000000095, mean = 119.76500000000019
341 max = 913.9000000000171, mean = 139.11666666666713
342 max = 658.1000000000078, mean = 157.64166666666642
343 max = 701.2000000000146, mean = 147.57666666666654
344 max = 646.6000000000123, mean = 124.9200000000001
345 max = 318.8999999999993, mean = 108.6183333333331
346 max = 849.2000000000181, mean = 116.2500000000001
347 max = 476.100000000004, mean = 133.22833333333307
348 max = 237.79999999999876, mean = 82.28999999999978
349 max = 855.2000000000199, mean = 78.05333333333357
350 max = 196.4999999999987, mean = 51.328333333333276
351 max = 582.9000000000112, mean = 112.87166666666673
352 max = 710.3000000000137, mean = 148.21666666666695
353 max = 675.90000000001, mean = 142.85166666666677
354 max = 402.10000000000446, mean = 108.42833333333321
355 max = 616.7000000000104, mean = 128.6516666666667
356 max = 614.2000000000131, mean = 126.33333333333329
357 max = 635.5000000000103, mean = 111.29333333333378
358 max = 591.1000000000097, mean = 188.38000000000025
359 max = 694.7000000000132, mean = 155.4050000000003
360 max = 631.700000000012, mean = 153.68500000000026
361 max = 693.9000000000148, mean = 171.30500000000058
362 max = 442.80000000000507, mean = 146.62999999999985
363 max = 445.6000000000045, mean = 173.5249999999999
364 max = 496.5000000000063, mean = 154.85333333333344
365 max = 404.40000000000197, mean = 141.6399999999998
366 max = 682.0000000000158, mean = 164.54000000000013
367 max = 480.8000000000046, mean = 149.70166666666645
368 max = 630.5000000000113, mean = 180.276666666667
369 max = 714.2000000000178, mean = 174.218333333334
370 max = 526.8000000000061, mean = 96.56333333333325
371 max = 347.60000000000116, mean = 81.45666666666654
372 max = 294.4999999999999, mean = 71.50666666666646
373 max = 312.29999999999905, mean = 60.39833333333319
374 max = 157.59999999999943, mean = 39.758333333333255
375 max = 406.20000000000334, mean = 85.29666666666648
376 max = 1014.6000000000296, mean = 166.90166666666752
377 max = 384.3000000000022, mean = 125.41166666666625
378 max = 845.1000000000209, mean = 171.96333333333376
379 max = 913.800000000021, mean = 209.78000000000094
380 max = 812.900000000014, mean = 234.0650000000006
381 max = 860.1000000000171, mean = 260.1733333333348
382 max = 962.7000000000245, mean = 250.88000000000184
383 max = 1144.900000000011, mean = 291.6000000000019
384 max = 719.7000000000178, mean = 202.03000000000083
385 max = 515.9000000000043, mean = 99.55500000000004
386 max = 678.7000000000124, mean = 154.09500000000008
387 max = 698.7000000000139, mean = 163.3349999999997
388 max = 462.8000000000035, mean = 160.17500000000007
389 max = 203.09999999999917, mean = 77.26833333333319
390 max = 375.40000000000236, mean = 108.54333333333312
391 max = 493.200000000005, mean = 171.39500000000027
392 max = 1052.6000000000229, mean = 204.0650000000016
393 max = 786.5000000000193, mean = 214.38333333333446
394 max = 944.6000000000255, mean = 174.48166666666734
395 max = 1196.8999999999987, mean = 192.62500000000117
396 max = 920.1000000000198, mean = 178.51833333333423
397 max = 804.0000000000165, mean = 166.8716666666674
398 max = 955.7000000000265, mean = 143.56833333333375
399 max = 956.5000000000219, mean = 163.2216666666668
400 max = 790.1000000000188, mean = 147.36333333333388
401 max = 1082.4000000000206, mean = 180.69833333333423
402 max = 1173.2000000000005, mean = 206.43333333333396
403 max = 743.4000000000152, mean = 188.51000000000087
404 max = 616.4000000000121, mean = 193.78666666666757
405 max = 927.3000000000209, mean = 197.5100000000012
406 max = 868.2000000000197, mean = 179.6216666666678
407 max = 201.9999999999985, mean = 38.8199999999999
408 max = 356.90000000000066, mean = 82.19499999999985
409 max = 358.00000000000125, mean = 46.19833333333328
410 max = 236.89999999999824, mean = 29.29333333333327
411 max = 255.89999999999935, mean = 85.71499999999973
412 max = 400.1000000000031, mean = 115.78833333333313
413 max = 513.100000000003, mean = 137.83666666666662
414 max = 530.8000000000069, mean = 104.39166666666665
415 max = 607.9000000000108, mean = 152.54500000000036
416 max = 985.3000000000258, mean = 201.99500000000072
417 max = 658.9000000000127, mean = 165.68666666666726
418 max = 628.0000000000132, mean = 166.11666666666704
419 max = 472.90000000000623, mean = 152.3183333333333
420 max = 499.1000000000066, mean = 146.2716666666667
421 max = 374.30000000000274, mean = 114.80999999999986
422 max = 576.4000000000086, mean = 136.61999999999983
423 max = 498.2000000000065, mean = 138.47666666666663
424 max = 469.10000000000446, mean = 119.21833333333339
425 max = 362.10000000000434, mean = 51.374999999999964
426 max = 353.300000000002, mean = 55.45166666666656
427 max = 588.900000000009, mean = 139.40166666666684
428 max = 654.6000000000159, mean = 127.18166666666684
429 max = 490.00000000000773, mean = 111.7733333333335
430 max = 291.2999999999995, mean = 20.546666666666642
431 max = 692.6000000000182, mean = 106.4533333333334
432 max = 554.00000000001, mean = 125.19166666666693
433 max = 954.1000000000224, mean = 200.0983333333344
434 max = 1007.0000000000238, mean = 197.7316666666685
435 max = 728.600000000014, mean = 161.82500000000027
436 max = 545.0000000000076, mean = 115.11999999999998
437 max = 384.00000000000324, mean = 87.8716666666665
438 max = 476.6000000000038, mean = 122.82833333333319
439 max = 462.40000000000526, mean = 117.09999999999981
440 max = 513.9000000000067, mean = 160.84
441 max = 604.1000000000107, mean = 179.5150000000004
442 max = 461.10000000000525, mean = 137.77166666666668
443 max = 420.100000000003, mean = 126.665
444 max = 830.6000000000159, mean = 168.98500000000078
445 max = 424.500000000003, mean = 141.09833333333322
446 max = 522.40000000001, mean = 126.08333333333324
447 max = 624.20000000001, mean = 141.67333333333332
448 max = 562.2000000000072, mean = 166.45333333333383
449 max = 518.1000000000058, mean = 141.11833333333317
450 max = 447.10000000000696, mean = 122.77666666666644
451 max = 649.5000000000069, mean = 187.93666666666704
452 max = 540.2000000000063, mean = 166.2033333333333
453 max = 513.100000000007, mean = 134.09833333333336
454 max = 426.50000000000244, mean = 124.52499999999971
455 max = 403.70000000000357, mean = 118.66499999999975
456 max = 493.50000000000745, mean = 114.84833333333323
457 max = 250.79999999999896, mean = 71.76499999999989
458 max = 415.300000000003, mean = 89.03999999999988
459 max = 363.10000000000116, mean = 100.06499999999986
460 max = 340.80000000000064, mean = 112.60999999999974
461 max = 434.3000000000021, mean = 120.89666666666643
462 max = 652.0000000000163, mean = 132.26000000000002
463 max = 878.5000000000167, mean = 122.12500000000016
464 max = 548.0000000000044, mean = 146.97833333333352
465 max = 549.4000000000108, mean = 154.7133333333334
466 max = 560.0000000000073, mean = 177.38166666666652
467 max = 484.70000000000863, mean = 156.85833333333338
468 max = 548.4000000000076, mean = 101.35666666666657
469 max = 261.1999999999988, mean = 43.01666666666655
470 max = 350.9000000000011, mean = 51.7916666666666
471 max = 273.399999999999, mean = 59.01833333333321
472 max = 196.69999999999962, mean = 37.62499999999998
473 max = 291.09999999999945, mean = 73.66166666666646
474 max = 273.99999999999875, mean = 80.76833333333308
475 max = 171.49999999999935, mean = 33.94999999999996
476 max = 277.59999999999866, mean = 85.22499999999977
477 max = 385.9000000000017, mean = 141.25166666666624
478 max = 475.90000000000623, mean = 128.0016666666665
479 max = 306.89999999999895, mean = 130.08166666666617
480 max = 367.5000000000024, mean = 107.87499999999977
481 max = 331.8000000000011, mean = 92.53166666666642
482 max = 317.70000000000124, mean = 102.33999999999973
483 max = 382.2000000000022, mean = 107.29166666666647
484 max = 637.8000000000131, mean = 164.45333333333366
485 max = 436.60000000000275, mean = 61.431666666666565
486 max = 196.59999999999877, mean = 37.791666666666586
487 max = 429.5000000000044, mean = 118.58166666666654
488 max = 541.4000000000091, mean = 166.7666666666666
489 max = 809.4000000000173, mean = 239.5166666666683
490 max = 749.8000000000161, mean = 235.29833333333514
491 max = 397.9000000000014, mean = 146.68833333333316
492 max = 1026.900000000023, mean = 243.693333333335
493 max = 748.0000000000125, mean = 201.55333333333348
494 max = 754.1000000000118, mean = 175.10333333333367
495 max = 855.2000000000197, mean = 237.97000000000165
496 max = 767.2000000000082, mean = 204.99666666666744
497 max = 1175.8000000000052, mean = 225.2500000000007
498 max = 980.8000000000224, mean = 183.9283333333342
499 max = 458.8000000000037, mean = 140.7783333333331
500 max = 517.0000000000074, mean = 125.27500000000006
501 max = 379.3000000000005, mean = 93.1166666666664
502 max = 567.4000000000079, mean = 116.20499999999988
503 max = 563.1000000000067, mean = 101.66499999999999
504 max = 654.9000000000076, mean = 154.52833333333362
505 max = 742.4000000000158, mean = 140.62000000000054
506 max = 485.40000000000543, mean = 152.70333333333332
507 max = 623.3000000000098, mean = 201.65166666666718
508 max = 1026.2000000000207, mean = 172.06666666666723
509 max = 553.9000000000071, mean = 135.97333333333333
510 max = 359.70000000000186, mean = 140.67833333333294
511 max = 645.9000000000123, mean = 176.67166666666702
512 max = 562.4000000000109, mean = 174.5616666666669
513 max = 945.6000000000257, mean = 174.93666666666755
514 max = 694.8000000000146, mean = 149.2916666666668
515 max = 881.2000000000165, mean = 154.5050000000005
516 max = 806.4000000000212, mean = 147.68666666666704
517 max = 490.3000000000062, mean = 141.8233333333332
518 max = 599.2000000000127, mean = 114.571666666667
519 max = 486.3000000000055, mean = 84.91333333333324
520 max = 619.5000000000138, mean = 160.73499999999984
521 max = 608.6000000000137, mean = 113.00333333333349
522 max = 815.6000000000175, mean = 215.52500000000148
523 max = 1163.4000000000115, mean = 207.61333333333474
524 max = 783.8000000000162, mean = 192.7200000000005
525 max = 694.1000000000092, mean = 149.80499999999995
526 max = 614.6000000000122, mean = 171.11166666666682
527 max = 770.9000000000156, mean = 198.68166666666764
528 max = 750.9000000000144, mean = 215.6200000000011
529 max = 865.1000000000201, mean = 241.09500000000176
530 max = 1402.3999999999683, mean = 223.6566666666674
531 max = 484.0000000000066, mean = 149.78499999999983
532 max = 774.3000000000177, mean = 231.05000000000064
533 max = 739.7000000000174, mean = 233.0150000000007
534 max = 599.5000000000072, mean = 127.21499999999989
535 max = 593.6000000000096, mean = 123.22500000000008
536 max = 670.1000000000092, mean = 136.90333333333336
537 max = 575.5000000000098, mean = 147.54000000000025
538 max = 478.50000000000443, mean = 150.01333333333324
539 max = 1235.5000000000005, mean = 269.07166666666853
540 max = 563.4000000000076, mean = 150.59500000000023
541 max = 1231.1999999999866, mean = 244.51500000000107
542 max = 781.3000000000169, mean = 177.98333333333437
543 max = 957.400000000026, mean = 186.31500000000142
544 max = 1357.4999999999836, mean = 188.03500000000068
545 max = 867.5000000000194, mean = 191.68833333333367
546 max = 748.5000000000176, mean = 188.1016666666671
547 max = 978.4000000000256, mean = 238.46166666666883
548 max = 433.3000000000071, mean = 124.51333333333311
549 max = 603.0000000000119, mean = 130.80499999999992
550 max = 461.10000000000497, mean = 102.97666666666647
551 max = 508.50000000000625, mean = 87.34666666666679
552 max = 607.6000000000112, mean = 107.04500000000014
553 max = 422.70000000000493, mean = 93.15666666666671
554 max = 397.6000000000041, mean = 93.41166666666658
555 max = 311.1000000000007, mean = 90.15999999999973
556 max = 409.7000000000054, mean = 88.49999999999987
557 max = 810.5000000000197, mean = 163.03833333333384
558 max = 699.9000000000138, mean = 167.1433333333343
559 max = 790.600000000016, mean = 164.38833333333352
560 max = 1230.9999999999923, mean = 208.72833333333412
